rank,smiles,cns_mpo_score,qed,novel_vs_training,mol_weight,logp,tpsa,hbd,hba,lipinski_pass
1,CN(C)CCCN1N(c2ccccc2)S1(=O)=O,5.0,0.735,True,255.34,0.92,43.4,0,3,True
2,Cc1cccc([N+](=O)[O-])c1,5.0,0.438,False,137.14,1.9,43.14,0,2,True
3,O=C1C=CC2=CC(=O)OC2=C1,5.0,0.469,True,148.12,0.49,43.37,0,3,True
4,CCN(CC)C(=O)[C@H](Cc1ccc(OC)cc1)C(=O)OC,5.0,0.569,True,293.36,1.9,55.84,0,4,True
5,CC(C)CS(=O)(=O)[O-],5.0,0.51,True,137.18,0.19,57.2,0,3,True
6,CO[C@@H]1C=C[C@@]23c4cc5c(cc4CN(C)[C@@H]2C(=O)N(C)[C@H]3C1)OCO5,5.0,0.72,False,342.4,1.28,51.24,0,5,True
7,CCN1C=C(COc2ccc3c(c2)OCO3)CC1=O,5.0,0.831,True,261.28,1.93,48.0,0,4,True
8,COc1ccc(-[n+]2ccc3c(c2)COCO3)cc1OC,5.0,0.801,True,274.3,1.85,40.8,0,4,True
9,CN1C2=C(C#N)C1C(=O)CCN(Cc1ccccc1)C2=O,5.0,0.813,True,281.31,1.08,64.41,0,4,True
10,O=c1c2ccccc2nc2n1CCCO2,5.0,0.644,True,202.21,1.18,44.12,0,3,True
11,CN(C)C(=O)Oc1cccc2c1CCC2=O,5.0,0.724,True,219.24,1.88,46.61,0,3,True
12,CN1CC2C(=O)N(c3ccccc3)C(=O)C2C12C(=O)c1ccccc1C2=O,4.997,0.57,False,360.37,1.56,74.76,0,5,True
13,O=C1C(=O)N(Cc2ccccc2)C(=O)c2ccccc21,4.974,0.617,True,265.27,2.05,54.45,0,3,True
14,COc1ccc2c(=O)ccoc2c1,4.972,0.665,True,176.17,1.8,39.44,0,3,True
15,CCN(CC)CCOc1ccc2nc3n(c(=O)c2c1)CCC3,4.968,0.819,True,301.39,2.06,47.36,0,4,True
16,COC(=O)C1=C(C)OP(=O)(OC)CCC1,4.958,0.54,False,234.19,2.08,61.83,0,5,True
17,COc1cc2c(c(OC)c1OC)C(=O)C(C)C2,4.956,0.806,False,236.27,2.09,44.76,0,4,True
18,CN(C)CCCN1CCN(c2cccc(OC(F)(F)F)c2)S1(=O)=O,4.947,0.771,True,367.39,1.9,53.09,0,4,True
19,CN1CCc2cc3c(cc2C1=O)OCO3,4.939,0.635,False,205.21,1.04,38.77,0,3,True
20,CN(C)C(=O)Oc1cccc2c1OCC1CCN(C)C21,4.934,0.788,True,276.34,2.13,42.01,0,4,True
21,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],4.916,0.599,False,371.82,0.1,40.8,0,4,True
22,CN(C)C(=O)Oc1ccc(-c2cn3ccccc3[n+]2C)cc1.[Cl-],4.892,0.594,True,331.8,-0.5,37.83,0,2,True
23,Cc1cccc2n1cc(-c1ccc(OC(=O)N(C)C)cc1)[n+]2C.[Cl-],4.892,0.604,False,345.83,-0.2,37.83,0,2,True
24,O=c1c2ccccc2[se]n1-c1ccc(CN2CCCC2)nc1,4.887,0.673,True,358.3,2.04,38.13,0,3,True
25,CN1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)c1ccccc1C2=O,4.869,0.558,False,378.36,1.69,74.76,0,5,True
26,O=C1CCN(Cc2ccccc2)C/C1=C\c1cncnc1,4.832,0.809,True,279.34,2.33,46.09,0,4,True
27,CN(C)Cc1ccc(C(=O)N2Cc3cc(C#N)ccc3CC2=O)cc1,4.828,0.809,True,333.39,2.34,64.41,0,4,True
28,COc1ccc(C(C#N)N2CCCC2)cc1OC,4.818,0.818,False,246.31,2.36,45.49,0,4,True
