cns_rank,smiles,cns_mpo_score,d_clogp,d_clogd,d_mw,d_tpsa,d_hbd,clogp,tpsa,qed,mol_weight,novel_vs_training
1,CN(C)CCCN1N(c2ccccc2)S1(=O)=O,5.0,1.0,1.0,1.0,1.0,1.0,0.92,43.4,0.735,255.34,True
2,Cc1cccc([N+](=O)[O-])c1,5.0,1.0,1.0,1.0,1.0,1.0,1.9,43.14,0.438,137.14,False
3,O=C1C=CC2=CC(=O)OC2=C1,5.0,1.0,1.0,1.0,1.0,1.0,0.49,43.37,0.469,148.12,True
4,CCN(CC)C(=O)[C@H](Cc1ccc(OC)cc1)C(=O)OC,5.0,1.0,1.0,1.0,1.0,1.0,1.9,55.84,0.569,293.36,True
5,CC(C)CS(=O)(=O)[O-],5.0,1.0,1.0,1.0,1.0,1.0,0.19,57.2,0.51,137.18,True
6,CO[C@@H]1C=C[C@@]23c4cc5c(cc4CN(C)[C@@H]2C(=O)N(C)[C@H]3C1)OCO5,5.0,1.0,1.0,1.0,1.0,1.0,1.28,51.24,0.72,342.4,False
7,CCN1C=C(COc2ccc3c(c2)OCO3)CC1=O,5.0,1.0,1.0,1.0,1.0,1.0,1.93,48.0,0.831,261.28,True
8,COc1ccc(-[n+]2ccc3c(c2)COCO3)cc1OC,5.0,1.0,1.0,1.0,1.0,1.0,1.85,40.8,0.801,274.3,True
9,CN1C2=C(C#N)C1C(=O)CCN(Cc1ccccc1)C2=O,5.0,1.0,1.0,1.0,1.0,1.0,1.08,64.41,0.813,281.31,True
10,O=c1c2ccccc2nc2n1CCCO2,5.0,1.0,1.0,1.0,1.0,1.0,1.18,44.12,0.644,202.21,True
11,CN(C)C(=O)Oc1cccc2c1CCC2=O,5.0,1.0,1.0,1.0,1.0,1.0,1.88,46.61,0.724,219.24,True
12,CN1CC2C(=O)N(c3ccccc3)C(=O)C2C12C(=O)c1ccccc1C2=O,4.997,1.0,1.0,1.0,1.0,1.0,1.56,74.76,0.57,360.37,False
13,O=C1C(=O)N(Cc2ccccc2)C(=O)c2ccccc21,4.974,1.0,0.97,1.0,1.0,1.0,2.05,54.45,0.617,265.27,True
14,COc1ccc2c(=O)ccoc2c1,4.972,1.0,1.0,1.0,0.97,1.0,1.8,39.44,0.665,176.17,True
15,CCN(CC)CCOc1ccc2nc3n(c(=O)c2c1)CCC3,4.968,1.0,0.97,1.0,1.0,1.0,2.06,47.36,0.819,301.39,True
16,COC(=O)C1=C(C)OP(=O)(OC)CCC1,4.958,1.0,0.96,1.0,1.0,1.0,2.08,61.83,0.54,234.19,False
17,COc1cc2c(c(OC)c1OC)C(=O)C(C)C2,4.956,1.0,0.96,1.0,1.0,1.0,2.09,44.76,0.806,236.27,False
18,CN(C)CCCN1CCN(c2cccc(OC(F)(F)F)c2)S1(=O)=O,4.947,1.0,1.0,0.95,1.0,1.0,1.9,53.09,0.771,367.39,True
19,CN1CCc2cc3c(cc2C1=O)OCO3,4.939,1.0,1.0,1.0,0.94,1.0,1.04,38.77,0.635,205.21,False
20,CN(C)C(=O)Oc1cccc2c1OCC1CCN(C)C21,4.934,1.0,0.93,1.0,1.0,1.0,2.13,42.01,0.788,276.34,True
21,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],4.916,1.0,1.0,0.92,1.0,1.0,0.1,40.8,0.599,371.82,False
22,CN(C)C(=O)Oc1ccc(-c2cn3ccccc3[n+]2C)cc1.[Cl-],4.892,1.0,1.0,1.0,0.89,1.0,-0.5,37.83,0.594,331.8,True
23,Cc1cccc2n1cc(-c1ccc(OC(=O)N(C)C)cc1)[n+]2C.[Cl-],4.892,1.0,1.0,1.0,0.89,1.0,-0.2,37.83,0.604,345.83,False
